Zone,Revenue District,Org District,AC Number,AC Name,Site AC,Site AC No,Org Mandal,LB Type,Local Body Code,Local Body Name,Ward Code,Ward Number,Ward Name,Males,Females,Others,Total
Thiruvananthapuram,Thiruvananthapuram,Thiruvananthapuram City,132,Kazhakkoottam,,,Kazhakkoottam,C,C01001,Thiruvananthapuram,C01001001,1,Kazhakkuttom,"3,995","4,643",0,"8,638"
Thiruvananthapuram,Thiruvananthapuram,Thiruvananthapuram City,132,Kazhakkoottam,,,Kazhakkoottam,C,C01001,Thiruvananthapuram,C01001002,2,Sainika School,"3,217","3,668",0,"6,885"
Thiruvananthapuram,Thiruvananthapuram,Thiruvananthapuram City,132,Kazhakkoottam,,,Kazhakkoottam,C,C01001,Thiruvananthapuram,C01001003,3,Chanthavila,"2,650","3,011",0,"5,661"
Thiruvananthapuram,Thiruvananthapuram,Thiruvananthapuram City,132,Kazhakkoottam,,,Kazhakkoottam,C,C01001,Thiruvananthapuram,C01001004,4,Kattaikonam,"3,447","3,917",0,"7,364"
Thiruvananthapuram,Thiruvananthapuram,Thiruvananthapuram City,132,Kazhakkoottam,,,Kazhakkoottam,C,C01001,Thiruvananthapuram,C01001005,5,Njandoorkonam,"3,409","3,768",0,"7,177"
Thiruvananthapuram,Thiruvananthapuram,Thiruvananthapuram City,132,Kazhakkoottam,,,Kazhakkoottam,C,C01001,Thiruvananthapuram,C01001006,6,Powdikonam,"3,456","3,779",0,"7,235"
Thiruvananthapuram,Thiruvananthapuram,Thiruvananthapuram City,132,Kazhakkoottam,,,Kazhakkoottam,C,C01001,Thiruvananthapuram,C01001007,7,Chenkottukonam,"3,229","3,576",0,"6,805"
Thiruvananthapuram,Thiruvananthapuram,Thiruvananthapuram City,132,Kazhakkoottam,,,Kazhakkoottam,C,C01001,Thiruvananthapuram,C01001008,8,Chempazhanthy,"3,601","4,042",0,"7,643"
Thiruvananthapuram,Thiruvananthapuram,Thiruvananthapuram City,132,Kazhakkoottam,,,Kazhakkoottam,C,C01001,Thiruvananthapuram,C01001009,9,Kariavattom,"3,129","3,306",0,"6,435"
Thiruvananthapuram,Thiruvananthapuram,Thiruvananthapuram City,132,Kazhakkoottam,,,Kazhakkoottam,C,C01001,Thiruvananthapuram,C01001010,10,Pangappara,"1,515","1,685",0,"3,200"
